signal_date,exit_date,regime,selected,basket_return_pct,benchmark_return_pct,excess_return_pct
20240701,20240708,risk_on,009540;000660;329180,-0.9285,2.5638,-3.4923
20240708,20240715,risk_on,009540;329180;000660,3.0881,0.1778,2.9103
20240715,20240722,risk_on,009540;329180;105560,5.9928,-3.6307,9.6236
20240722,20240729,risk_on,009540;329180;055550,13.7394,-0.4171,14.1565
20240729,20240805,risk_on,329180;012450;009540,-14.2211,-12.3127,-1.9084
20240805,20240812,cash,,0.0,6.9758,-6.9758
20240812,20240820,risk_on,329180;009540;012450,-1.0463,3.7925,-4.8388
20240820,20240827,risk_on,329180;009540;012450,-6.2314,-1.0811,-5.1503
20240827,20240903,risk_on,329180;207940;009540,-1.8495,-1.5758,-0.2737
20240903,20240910,risk_on,329180;012450;373220,-4.2347,-5.5348,1.3002
20240910,20240920,cash,,0.0,1.6189,-1.6189
20240920,20240927,cash,,0.0,2.9561,-2.9561
20240927,20241008,cash,,0.0,-2.5751,2.5751
20241008,20241016,cash,,0.0,0.9387,-0.9387
20241016,20241023,cash,,0.0,-0.2568,0.2568
20241023,20241030,cash,,0.0,-0.5624,0.5624
20241030,20241106,cash,,0.0,-1.1728,1.1728
20241106,20241113,cash,,0.0,-6.2828,6.2828
20241113,20241120,cash,,0.0,3.1881,-3.1881
20241120,20241127,cash,,0.0,1.0901,-1.0901
20241127,20241204,cash,,0.0,-1.9194,1.9194
20241204,20241211,cash,,0.0,-0.6879,0.6879
20241211,20241218,cash,,0.0,1.7713,-1.7713
20241218,20241226,cash,,0.0,-2.5547,2.5547
20241226,20250106,cash,,0.0,3.3967,-3.3967
20250106,20250113,cash,,0.0,-0.4195,0.4195
20250113,20250120,cash,,0.0,1.3413,-1.3413
20250120,20250131,cash,,0.0,-0.2415,0.2415
20250131,20250207,cash,,0.0,-0.0123,0.0123
20250207,20250214,cash,,0.0,2.7641,-2.7641
20250214,20250221,cash,,0.0,2.7494,-2.7494
20250221,20250228,risk_on,012450;207940;035420,-7.3843,-4.3329,-3.0513
20250228,20250310,cash,,0.0,1.2589,-1.2589
20250310,20250317,cash,,0.0,2.4716,-2.4716
